Gene,Mean SHAP Value
ARHGAP21,0.00016212550022997352
WDFY3,0.0001615696327100311
SERTAD3,0.00016151007683727294
PDGFRB,0.000160988896063917
SLU7,0.00016047409607626394
LCT,0.0001601324442564051
DGCR5,0.00016011833843894319
PIP,0.00015984956988657258
TRIP10,0.00015944914717195603
DYNC2LI1,0.00015909694215191005
MRPS27,0.00015893817339948698
ANK1,0.00015883880719115825
PATZ1,0.00015875627230356538
NCOA7,0.0001587507647597077
EPHA3,0.00015867962327568622
NIPBL,0.00015784877423097088
UPF0639,0.00015754675639262822
ATP1B3,0.0001573989411695578
LMLN,0.00015735559193077284
ZNF678,0.00015719112512065173
ZNF385A,0.00015689117255495862
NASP,0.00015682673675069788
ATP5G3,0.00015679245851315808
SLC43A2,0.00015656893911291758
FAM105B,0.00015650779691113028
GRB7,0.0001563610312698779
MSL3L2,0.00015619098406431211
C2CD4D,0.00015608499957864928
ORMDL3,0.00015541488965959557
RAP2B,0.00015541358467329903
EPC2,0.00015521892983555587
CFLAR,0.00015476315365005083
SLC22A23,0.00015462581423858701
RPS6KA3,0.00015445232809665829
HRASLS2,0.00015412940511672448
C14orf45,0.00015402630255072534
CRIP1,0.0001534619362857001
SIN3B,0.00015297173752463886
C11orf90,0.00015291902580813452
UBASH3B,0.0001528715320224183
TMEM206,0.0001524026443264832
KDM1A,0.00015229264002315242
ZNF530,0.00015222124410981273
TPRXL,0.00015174870754209056
GPR125,0.00015125997770837362
ATP11C,0.00015111092689879877
KIF13B,0.00015084568042147915
PHGDH,0.0001504973055747909
TCTN1,0.00015041719353597733
STMN1,0.00015029277838281093
PLEKHO1,0.00015028675223154552
FAM35B2,0.00015002161881839273
MSLN,0.0001494316687473128
CMYA5,0.0001491949345092808
RPN1,0.0001491380915854376
MORN1,0.0001488138734671561
C18orf32,0.00014863774879912285
PPIE,0.00014648678962829255
EXTL3,0.00014618863784670715
TEAD4,0.00014614387337505172
SENP3,0.00014594561990870998
ITGA6,0.00014590474771377038
C1orf144,0.00014520396465794597
ASB12,0.00014414083664027479
IL12RB2,0.0001440830386537822
LRRC8D,0.00014373061402368404
C3orf21,0.00014317981784795186
HRCT1,0.00014294157584297595
RNF11,0.00014284980682371096
LY6E,0.0001420145043877359
OGFRL1,0.00014173687766933822
NRG4,0.0001409466834142747
STAG3,0.0001408707923942204
ERBB3,0.0001408488482663004
AMD1,0.00014083742710799298
ELP2,0.00014016005248186576
NXN,0.00014008654127707623
UGT2B28,0.0001399995304243944
DBP,0.00013954636495678956
FSTL4,0.0001392087388526286
ASS1,0.0001384650519730815
GNS,0.00013816118237053264
ANP32B,0.0001380322366842342
PRSS53,0.0001377410185619212
SPSB1,0.00013751108417097145
LOC388955,0.000137255537329556
LOXL4,0.00013715936181425153
HMGXB3,0.000137090597109738
RAD51AP2,0.0001369205619002932
C1orf130,0.00013663906038461612
TMEM43,0.00013654993380013652
HLA-A,0.00013518661179390138
KLF11,0.0001348002804249281
VAV3,0.00013458175094973495
COL27A1,0.00013431110347820546
ZNF454,0.00013390751806232633
MMD,0.00013363482417835985
MSH2,0.00013352351649631016
DYNLRB2,0.0001332761273792686
MDP1,0.00013273876247228922
NRTN,0.00013266950802537153
MATK,0.00013259539219219493
ASTE1,0.0001317329961171763
EIF4H,0.000131600769443499
GSTCD,0.00013115967371555684
ZNF471,0.00013038665755131304
NCAM2,0.00013020752818579121
CA4,0.00013013153872059783
C5orf22,0.0001298315662798205
KIAA1045,0.00012982240272009962
TBC1D12,0.0001298128259859182
HRASLS,0.00012958986657438568
LASS6,0.00012956519751922227
SCUBE2,0.00012911352408210048
PSRC1,0.0001290351809124776
PSMB2,0.0001284108884325661
FAM19A3,0.00012821023962022651
PAPD7,0.0001281624554587728
FAAH2,0.00012811195434256426
CROT,0.00012795974071057328
INA,0.00012768249173494373
CCDC141,0.00012698302198267715
C14orf93,0.00012638433341807107
NSUN5P1,0.00012626493960491225
MFGE8,0.0001260562526212211
TMX4,0.00012557627493058494
PGAP3,0.00012552974114218282
RSL1D1,0.00012552822991146483
RABL5,0.00012550986596313792
CHCHD5,0.0001251815513542885
OPA1,0.00012513059490757518
CCDC83,0.00012498185897613314
GSTO1,0.0001248858697450174
NAIP,0.0001245256066036575
NXT1,0.00012423262497086954
PLEKHF1,0.00012387351928729446
PPAP2A,0.00012346061661193262
TOMM40,0.0001230720130089677
POM121L10P,0.0001229851861688061
C14orf162,0.00012295484010986925
LRIG2,0.00012286599552298666
TSC22D3,0.00012285996995265973
NTRK1,0.00012252346799637533
ZNF564,0.0001224588757330654
FAM83D,0.00012228982028596882
LRTOMT,0.00012187072645216203
TNFRSF6B,0.00012157777441073734
ZNF763,0.00012137231623305857
C19orf29,0.00012129372264435472
SOCS6,0.0001206142434300522
GPR98,0.00012049621909446919
CCDC130,0.00012030197631700089
KBTBD12,0.00012014380328235233
HPGD,0.00012010022165443498
LEPREL1,0.00011995178136209238
C5orf46,0.00011986743676654091
SET,0.00011960494297114523
CECR7,0.00011947867801625765
HGD,0.00011922093988761552
PDRG1,0.00011917529461070653
LOC84740,0.0001191452615202564
SRF,0.00011897630375405095
ZNF229,0.00011891351767903822
FAM65A,0.00011890488023358068
GATA6,0.00011889832772049596
HCG11,0.00011888523952693072
LIMK1,0.00011863402090838447
SHROOM3,0.00011772600541991981
GZMK,0.00011751819175144439
HSPA1B,0.0001172748085262343
HBB,0.0001172503082673641
TBC1D9B,0.0001170200915165234
IDO1,0.00011614428800349405
GNA15,0.00011607741455271734
SELT,0.00011598629011993315
CACNG6,0.00011597184477998592
DCBLD2,0.00011564488673684494
MYO1H,0.00011560892202572519
PMFBP1,0.00011549837359900155
C20orf165,0.0001153348641406849
LOC646762,0.00011518641000581439
KRT14,0.0001150951020140919
FABP5,0.00011482720963950129
TUBGCP3,0.00011479639438023838
LBX2,0.00011466886614438338
