Gene,log2FoldChange,pvalue,adj_pvalue
RBCK1,-0.3581035505282628,6.195635633743719e-07,1.4783757158842024e-06
LOC402377,-0.47784045402772835,6.203913328452163e-07,1.4801435133586486e-06
NCRNA00219,-0.4733021994422826,6.231238227203e-07,1.4864545035616628e-06
DLX2,-1.0225163308589593,6.234437139696327e-07,1.487009306569026e-06
CPNE5,0.7020694316798233,6.272024480088565e-07,1.495764975436329e-06
TIRAP,-0.3104734535171447,6.28629528628966e-07,1.4989583971648404e-06
DNAJC6,0.8733254506892907,6.288143735394922e-07,1.4991892456079452e-06
LOC100190986,-0.5582389497663094,6.390429897288245e-07,1.5233625581021672e-06
RRP9,0.32132312163701293,6.401115579516475e-07,1.5256962675880414e-06
DNPEP,-0.2980625466399598,6.443577231030627e-07,1.535602018534167e-06
NCRNA00120,0.40835513923255284,6.452463960466735e-07,1.537504704725738e-06
PFKL,0.3328095322257614,6.513724127704432e-07,1.551884749507645e-06
FAM179A,0.764972290954794,6.573279838436658e-07,1.5658547440002277e-06
MARCKSL1,0.38913507717686,6.579066062425449e-07,1.567013916686789e-06
KRT4,1.6424327677624597,6.621006502468876e-07,1.5767828378834422e-06
LANCL1,-0.3389751855779384,6.700232847269494e-07,1.5954273684144223e-06
C10orf2,0.36000857782491025,6.705081083996347e-07,1.5963586028303896e-06
MARCH6,-0.33532986135658227,6.707959723625059e-07,1.596820716988185e-06
XPO7,0.28754649071128746,6.710206887563081e-07,1.597132401051003e-06
C13orf29,0.7287701622088676,6.726256907016839e-07,1.6007288307224255e-06
PPP1R1B,1.5130413927182769,6.781541425988348e-07,1.6136600598656081e-06
NRN1,0.7705018734535178,6.859914355961562e-07,1.6320807695169798e-06
SH2D1B,0.6674954832881661,6.869701505565883e-07,1.6341809839333286e-06
GSTA4,0.5634787793095342,6.898911614177826e-07,1.6409003462213458e-06
HAX1,0.25979514551667293,6.930834284898109e-07,1.6482629223825556e-06
KIAA0802,-0.7459549271434733,6.954375233011088e-07,1.6536304135461997e-06
RTEL1,-0.32521692785043754,6.967049893055667e-07,1.6562607839011173e-06
OSTC,0.27395040650406877,6.968354971609809e-07,1.6562607839011173e-06
EPS8,-0.5202722909547912,6.96750829051239e-07,1.6562607839011173e-06
DET1,-0.33432849456030755,6.974102348526413e-07,1.6573955204494114e-06
PQBP1,0.30668892030949024,7.01793417488333e-07,1.667579447443325e-06
LOC134466,-0.6576021798044067,7.027400135786188e-07,1.6694804942190495e-06
ELMO3,-0.5605567613212354,7.027895280714249e-07,1.6694804942190495e-06
WDR8,0.26237267978476986,7.044211414834674e-07,1.673123018056269e-06
PODXL2,0.6577805545736641,7.052035412274405e-07,1.6747477767540526e-06
PTPRCAP,0.8396142413887908,7.061580663575566e-07,1.6767807961613481e-06
PSMA5,0.26948518911276054,7.080862097328637e-07,1.6811247946118316e-06
DLGAP3,0.837647496170614,7.112044098881599e-07,1.6882925983266464e-06
SUMO1,0.2677306586544148,7.11374152641182e-07,1.6884601838995584e-06
MED12L,-0.8930652448843333,7.160361166958029e-07,1.6992886102744598e-06
