Gene,log2FoldChange,pvalue,adj_pvalue
H2AFY2,1.221007403479831,7.387270046575206e-16,4.4532817307318856e-15
ZDHHC11,-1.3799821413141666,7.441549164930509e-16,4.482829228113427e-15
COCH,2.2232558422685686,7.620113301083781e-16,4.587151980115122e-15
C6orf150,1.0495748792270518,7.643391352111284e-16,4.599539036270501e-15
DCLK1,-1.5174673422096552,8.00825076400423e-16,4.813996135227393e-15
CCDC88A,1.0097181611091468,8.54208521640372e-16,5.113241168202297e-15
NETO2,1.1254646282549787,9.020389037582382e-16,5.3957578261337536e-15
SEPP1,-1.3162319704646297,9.574540417294827e-16,5.7192010980894745e-15
CYP4F11,-2.2498680963041515,9.588140976751101e-16,5.723310229024579e-15
PLA2G7,1.1812855857978848,9.78471319122751e-16,5.83860075846547e-15
LOC440925,-1.5293969914771617,9.950451088625738e-16,5.9312629345220966e-15
HTRA1,-1.0409047209457594,1.0013989716074083e-15,5.967048455729238e-15
PRSS12,2.424168638309572,1.009323171438992e-15,6.012162857504734e-15
RTN2,-1.0725281332233605,1.0217719607828173e-15,6.079935881247861e-15
NRXN3,-1.3734929264365112,1.0446129113376652e-15,6.2115076396928904e-15
SAA4,1.8141467970621725,1.0464545718575446e-15,6.220286687167185e-15
SCEL,2.7730341738344917,1.1078452936328677e-15,6.576021383955293e-15
PIWIL4,1.243196928635954,1.1341842797785005e-15,6.7253336645640196e-15
CLEC7A,1.3328748556616032,1.135531667519405e-15,6.7309795676489614e-15
CCL7,1.827875641176701,1.1636840197675713e-15,6.8906602422259176e-15
NUDT16P1,-1.216232461411571,1.164202748563718e-15,6.8913356997011184e-15
NTM,-1.069828710576962,1.1814040250960295e-15,6.988298210276271e-15
FAM38B,-1.4883639370016901,1.2004755749694582e-15,7.09864550060065e-15
KLK4,-1.793657460429677,1.213598298444246e-15,7.17375183009563e-15
